date,temprature,humidity,wind 
20220101T0000,5.5602455,94.83262,4.32
20220101T0100,4.630245,96.47203,3.2599385
20220101T0200,3.6602454,97.1187,3.5455887
20220101T0300,3.8802452,96.16575,3.671294
20220101T0400,3.6502452,96.980194,4.3498964
20220101T0500,3.1102452,97.79321,5.1919937
20220101T0600,2.7302456,98.201126,5.3999996
20220101T0700,2.5102453,98.19411,5.3517847
20220101T0800,2.4402454,97.83999,5.495161
20220101T0900,4.2502456,95.36762,6.638072
20220101T1000,6.5302453,92.20724,5.8048253
20220101T1100,8.290245,88.76688,6.439876
20220101T1200,10.090245,83.10312,5.95906
20220101T1300,11.3102455,79.97462,5.991594
20220101T1400,12.100245,77.46256,5.692099
20220101T1500,10.530245,84.3071,6.28713
20220101T1600,7.3002453,93.68196,5.6920996
20220101T1700,5.9902453,95.78908,6.0347
20220101T1800,5.8002453,95.445526,5.937272
20220101T1900,5.170245,94.87827,5.315336
20220101T2000,4.4902453,95.85379,5.495161
20220101T2100,3.9102454,95.96225,5.495161
20220101T2200,3.5702453,98.1573,6.193674
20220101T2300,3.4202452,98.012985,6.6087217
20220102T0000,2.8802452,97.087776,6.28713
20220102T0100,3.0202456,96.885254,6.379216
20220102T0200,2.3602452,97.48621,6.379216
20220102T0300,2.3102455,96.64618,7.24486
20220102T0400,2.3802454,96.09441,8.0899935
20220102T0500,2.4202454,95.54446,8.435069
20220102T0600,2.5802455,95.07294,7.653705
20220102T0700,2.9402456,91.53713,7.10031
20220102T0800,3.5602455,88.35643,6.9527545
20220102T0900,5.0602455,83.72151,6.924738
20220102T1000,6.540245,81.80693,11.159999
20220102T1100,8.340245,74.79823,11.966954
20220102T1200,9.950245,69.920204,10.661107
20220102T1300,11.590245,67.956375,10.365251
20220102T1400,12.150246,66.07579,11.609651
20220102T1500,12.020246,64.09562,10.799999
20220102T1600,11.270246,66.47852,11.090103
20220102T1700,10.740245,67.770805,13.755579
20220102T1800,10.660245,68.37353,15.124284
20220102T1900,11.000245,68.68648,15.778516
20220102T2000,11.720245,66.30155,15.1884165
20220102T2100,12.5602455,64.985275,15.077082
20220102T2200,12.240245,68.42762,16.135872
20220102T2300,12.300245,69.680855,18.668005
20220103T0000,12.290245,70.50054,20.26899
20220103T0100,12.460245,70.05099,20.608229
20220103T0200,12.460245,71.11963,19.483284
20220103T0300,12.550245,70.89352,16.78156
20220103T0400,12.370245,71.83889,17.068707
20220103T0500,11.910245,73.247154,14.982228
20220103T0600,11.740245,73.569016,13.089354
20220103T0700,11.670245,72.899605,11.457958
20220103T0800,11.670245,72.648544,13.392774
20220103T0900,11.680245,72.85125,15.30741
20220103T1000,11.800245,73.9864,13.493999
20220103T1100,11.920245,72.89697,12.88981
20220103T1200,12.190246,72.44865,14.003028
20220103T1300,12.370245,71.98713,14.529915
20220103T1400,12.330245,71.929886,14.277983
20220103T1500,12.270246,72.06669,13.493999
20220103T1600,12.040245,72.619415,13.004922
20220103T1700,11.860246,72.58489,11.885453
20220103T1800,11.510245,73.57673,12.55879
20220103T1900,11.420245,73.71239,14.007655
20220103T2000,11.350245,75.96923,12.783802
20220103T2100,11.420245,77.24474,13.392774
20220103T2200,11.150246,79.731895,16.548256
20220103T2300,11.440246,77.14209,16.92383
20220104T0000,11.400246,77.56019,15.1884165
20220104T0100,11.420245,76.558136,15.844089
20220104T0200,11.950245,73.254684,14.24163
20220104T0300,12.010245,75.77127,16.055353
20220104T0400,12.320246,78.98929,21.470612
20220104T0500,12.140245,82.468445,22.473343
20220104T0600,12.130245,83.42142,22.870626
20220104T0700,12.900246,77.64504,26.785547
20220104T0800,13.720245,70.25891,26.712873
20220104T0900,14.150246,65.52666,25.661207
20220104T1000,15.3102455,58.609344,28.90107
20220104T1100,15.920245,56.120777,25.77962
20220104T1200,16.250246,53.89537,27.169865
20220104T1300,15.070246,59.72979,28.185955
20220104T1400,13.380245,70.96174,26.525429
20220104T1500,13.030245,71.6236,21.316135
20220104T1600,13.270246,70.9399,13.339445
20220104T1700,12.550245,75.29755,10.041354
20220104T1800,11.420245,83.1052,9.19939
20220104T1900,9.620245,89.5015,9.931042
20220104T2000,8.080246,89.30239,11.966954
20220104T2100,7.250245,86.82677,11.525623
20220104T2200,6.290245,81.13365,10.105681
20220104T2300,5.670245,84.042435,9.085988
20220105T0000,5.610245,85.42093,8.654986
20220105T0100,5.6002455,87.19667,12.641076
20220105T0200,5.480245,88.491615,14.689588
20220105T0300,5.4702454,88.49059,14.336861
20220105T0400,5.3102455,87.78614,15.696165
20220105T0500,4.8502455,83.45338,15.328561
20220105T0600,4.2102456,82.229805,15.509274
20220105T0700,3.8802452,80.47135,14.81259
20220105T0800,3.4402456,79.121544,12.57426
20220105T0900,3.1302452,73.68332,13.039754
20220105T1000,3.2002454,72.778625,14.869351
20220105T1100,3.2502456,67.89054,14.869351
20220105T1200,3.7002454,63.875984,15.192682
20220105T1300,4.1002455,58.177803,14.759999
20220105T1400,4.0402455,56.22099,12.371645
20220105T1500,3.7402453,58.606697,9.47012
20220105T1600,2.4002454,65.6889,7.10031
20220105T1700,1.9502454,70.53971,5.6233797
20220105T1800,0.9002454,78.567986,5.3517847
20220105T1900,0.84024537,80.274216,5.6233797
20220105T2000,1.2002454,80.51266,5.0911684
20220105T2100,1.3602455,81.2578,4.8433046
20220105T2200,1.2002454,86.55992,6.151683
20220105T2300,1.0702454,87.69847,5.95906
20220106T0000,1.5602454,86.730934,5.1919937
20220106T0100,1.7302454,86.87855,5.1165614
20220106T0200,1.8102454,86.634026,4.8433046
20220106T0300,2.0002456,86.3407,4.8433046
20220106T0400,1.9902455,87.03653,5.1165614
20220106T0500,1.8102454,88.94427,4.6102495
20220106T0600,1.8002454,90.976204,4.3349743
20220106T0700,1.6702454,92.83788,6.1305785
20220106T0800,2.1002455,89.55911,5.00128
20220106T0900,2.4702454,89.27122,3.0547013
20220106T1000,3.2502456,85.93003,4.39436
20220106T1100,3.5602455,81.24367,6.28713
20220106T1200,4.170245,77.64807,6.9899354
20220106T1300,4.4802456,75.917366,6.130579
20220106T1400,4.150245,79.12522,5.1544156
20220106T1500,3.9402456,81.36101,2.5455842
20220106T1600,2.1902454,88.20972,1.835647
20220106T1700,2.1502454,88.01276,1.0182338
20220106T1800,1.5802454,90.95654,2.8116899
20220106T1900,0.8702454,91.96498,1.5273507
20220106T2000,0.3102454,92.05339,0.35999998
20220106T2100,-0.009754598,91.89073,1.609969
20220106T2200,-1.1897546,92.95853,3.6179552
20220106T2300,-1.4697546,92.86688,6.638072
20220107T0000,-2.0597544,92.61025,5.0142193
20220107T0100,-1.6297547,91.543396,4.896529
20220107T0200,-0.88975465,90.93057,4.802999
20220107T0300,-0.9597546,91.740204,5.4119864
20220107T0400,-1.0497546,91.80061,6.4799995
20220107T0500,-0.89975464,91.13299,6.162207
20220107T0600,-0.62975454,90.21425,6.5693827
20220107T0700,-0.4597546,88.43775,7.5685663
20220107T0800,0.080245405,85.59016,9.028754
20220107T0900,0.84024537,85.05783,9.746631
20220107T1000,1.8302454,83.45493,11.165805
20220107T1100,2.0102453,83.48057,11.525623
20220107T1200,2.0202456,86.91298,14.039999
20220107T1300,1.6602454,93.17524,14.654254
20220107T1400,1.6002454,97.1048,12.313894
20220107T1500,1.7702454,96.761566,13.004922
20220107T1600,1.9602454,95.72713,13.324863
20220107T1700,1.7802454,97.675285,13.104198
20220107T1800,1.9202454,98.17486,13.755579
20220107T1900,2.1502454,95.39217,13.246826
20220107T2000,2.5302453,93.84504,13.089354
20220107T2100,2.8202453,93.52713,14.007655
20220107T2200,2.9202452,90.028984,14.658676
20220107T2300,3.2702456,86.933105,17.193533
20220108T0000,3.4502454,84.842476,18.345877
20220108T0100,3.3702455,87.76469,19.592731
20220108T0200,3.2002454,92.75064,20.696087
20220108T0300,3.3402452,93.3614,21.30093
20220108T0400,3.6002455,94.31821,22.104116
20220108T0500,3.5702453,91.78622,18.448023
20220108T0600,3.2402453,90.05904,14.869351
20220108T0700,2.7102456,88.58649,12.522619
20220108T0800,2.6002455,87.42484,10.883676
20220108T0900,2.6702452,87.05258,13.584932
20220108T1000,3.0902452,80.46265,15.876775
20220108T1100,3.7402453,76.55896,18.709612
20220108T1200,4.4702454,71.139595,17.429354
20220108T1300,4.8402452,69.57048,16.992609
20220108T1400,5.0502453,69.00832,16.485485
20220108T1500,5.0702453,68.00919,13.049689
20220108T1600,4.9902453,68.79307,13.1041975
20220108T1700,5.4102454,69.543655,13.661038
20220108T1800,5.2402453,74.91126,14.458382
20220108T1900,5.440245,79.33797,16.808569
20220108T2000,5.5902452,81.31815,18.03237
20220108T2100,5.630245,85.12032,18.416384
20220108T2200,5.880245,84.66931,17.294992
20220108T2300,5.5802455,88.627106,20.969805
20220109T0000,5.750245,90.66939,20.833395
20220109T0100,6.2202454,89.69488,27.80403
20220109T0200,5.710245,90.858,26.368616
20220109T0300,5.2002454,89.346664,23.710857
20220109T0400,4.6002455,89.16169,22.73707
20220109T0500,4.1602454,87.28555,23.510508
20220109T0600,4.1902456,84.75498,22.380884
20220109T0700,4.2702456,84.27884,19.255793
20220109T0800,4.0502453,85.28793,16.923828
20220109T0900,4.2702456,85.43835,14.84318
20220109T1000,4.420245,83.33408,13.830749
20220109T1100,4.4802456,83.28247,17.373497
20220109T1200,4.5902452,83.95871,16.267857
20220109T1300,4.650245,84.26861,15.937878
20220109T1400,4.5902452,83.477554,11.966953
20220109T1500,4.0702453,87.46362,10.948973
20220109T1600,3.7902455,89.981,7.8954163
20220109T1700,3.2002454,92.883934,6.297428
20220109T1800,2.7602453,93.99543,6.4096174
20220109T1900,2.4902453,94.72601,6.1094027
20220109T2000,2.2102454,95.74022,4.3349743
20220109T2100,1.9402454,95.93388,5.3517847
20220109T2200,1.6502454,99.73735,4.510787
20220109T2300,1.8102454,99.52536,5.315336
20220110T0000,1.7802454,98.17019,5.3517847
20220110T0100,1.9202454,95.86355,4.5536795
20220110T0200,2.1002455,95.527306,3.4152596
20220110T0300,1.5902454,96.89371,2.2768397
20220110T0400,1.4902453,96.88931,2.4149535
20220110T0500,1.5902454,96.61344,4.0249224
20220110T0600,1.8602453,96.97553,4.452954
20220110T0700,1.7602454,97.463066,3.9763298
20220110T0800,1.7302454,97.32111,3.319036
20220110T0900,2.2502456,94.23408,6.162207
20220110T1000,2.8002453,92.52085,6.8399997
20220110T1100,3.2602453,91.8932,6.379216
20220110T1200,4.150245,84.20221,7.8954163
20220110T1300,4.5902452,82.87953,9.085988
20220110T1400,4.8302455,80.969826,9.290511
20220110T1500,4.4402456,82.26345,7.10031
20220110T1600,3.1802454,87.17457,6.130579
20220110T1700,2.0502453,90.86629,7.928178
20220110T1800,1.3602455,91.53658,7.69592
20220110T1900,0.9102454,91.22982,8.39657
20220110T2000,0.2502454,91.372574,7.8954163
20220110T2100,-0.04975462,91.54854,6.618519
20220110T2200,-0.3097546,92.0692,7.127636
20220110T2300,-0.51975465,90.76286,7.145796
20220111T0000,-0.1297546,90.06312,6.792466
20220111T0100,-0.3197546,90.44586,5.8048253
20220111T0200,-0.39975458,91.0439,6.9153743
20220111T0300,-0.2697546,91.46137,7.127636
20220111T0400,-0.5797546,91.56948,6.638072
20220111T0500,-0.29975462,91.4587,6.6185193
